Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Site Navigation," "" """,,TRUE,,,,,,,,
,,1033,TRUE,,Home,,,,,,
,,1033,TRUE,,Vision,,,,,,
,,1033,TRUE,,Start Here,,,,,,
,,1033,TRUE,,Plan,,,,,,
,,1033,TRUE,,Plan,Solution Design,,,,,
,,1033,TRUE,,Plan,Which Tool When?,,,,,
,,1033,TRUE,,Plan,Hosting Options,,,,,
,,1033,TRUE,,Plan,Review ? Engagement,,,,,
,,1033,TRUE,,Plan,Team Sites,,,,,
,,1033,TRUE,,Plan,Web Based Solutions,,,,,
,,1033,TRUE,,Plan,Portals ? Publishing,,,,,
,,1033,TRUE,,Plan,Windows ? Devices Experiences,,,,,
,,1033,TRUE,,Build,,,,,,
,,1033,TRUE,,Build,Tools and Frameworks,,,,,
,,1033,TRUE,,Build,Securing Your SharePoint Site,,,,,
,,1033,TRUE,,Build,O365 App Development,,,,,
,,1033,TRUE,,Build,Making Content Discoverable,,,,,
,,1033,TRUE,,Build,Manage Sites ? Content,,,,,
,,1033,TRUE,,Build,Migration Guidance,,,,,
,,1033,TRUE,,Build,Social Experiences,,,,,
,,1033,TRUE,,Deploy,,,,,,
,,1033,TRUE,,Deploy,Submit an App,,,,,
,,1033,TRUE,,Manage,,,,,,
,,1033,TRUE,,Manage,Governance in the Enterprise,,,,,
,,1033,TRUE,,Manage,Site ? Container Policies,,,,,
,,1033,TRUE,,Manage,Team Sites,,,,,
,,1033,TRUE,,Manage,Office 365 Groups,,,,,
,,1033,TRUE,,Manage,Yammer,,,,,
,,1033,TRUE,,Learn,,,,,,
,,1033,TRUE,,Learn,Responsive Design Package,,,,,
,,1033,TRUE,,Learn,Social Education ? Training,,,,,
,,1033,TRUE,,Community,,,,,,
